ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
BK0101,Greenpoint,3,Brooklyn,0,Grnpt,Residential/Mixed,True,BK-BK0101
BK0102,Williamsburg,3,Brooklyn,0,Wllmsbrg,Residential/Mixed,True,BK-BK0102
BK0103,South Williamsburg,3,Brooklyn,0,SWllmsbrg,Residential/Mixed,True,BK-BK0103
BK0104,East Williamsburg,3,Brooklyn,0,EWllmsbrg,Residential/Mixed,True,BK-BK0104
BK0201,Brooklyn Heights,3,Brooklyn,0,BkHts,Residential/Mixed,True,BK-BK0201
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,3,Brooklyn,0,DwntwnBk,Residential/Mixed,True,BK-BK0202
BK0203,Fort Greene,3,Brooklyn,0,FtGrn,Residential/Mixed,True,BK-BK0203
BK0204,Clinton Hill,3,Brooklyn,0,ClntnHl,Residential/Mixed,True,BK-BK0204
BK0261,Brooklyn Navy Yard,3,Brooklyn,6,BkNvyYrd,Industrial/Transportation,False,BK-BK0261
BK0301,Bedford-Stuyvesant (West),3,Brooklyn,0,BdSty_W,Residential/Mixed,True,BK-BK0301
BK0302,Bedford-Stuyvesant (East),3,Brooklyn,0,BdSty_E,Residential/Mixed,True,BK-BK0302
BK0401,Bushwick (West),3,Brooklyn,0,Bshwck_W,Residential/Mixed,True,BK-BK0401
BK0402,Bushwick (East),3,Brooklyn,0,Bshwck_E,Residential/Mixed,True,BK-BK0402
BK0471,The Evergreens Cemetery,3,Brooklyn,7,EvrgrnsCem,Airport,False,BK-BK0471
BK0501,Cypress Hills,3,Brooklyn,0,CyprssHls,Residential/Mixed,True,BK-BK0501
BK0502,East New York (North),3,Brooklyn,0,ENY_N,Residential/Mixed,True,BK-BK0502
BK0503,East New York-New Lots,3,Brooklyn,0,ENY_NwLts,Residential/Mixed,True,BK-BK0503
BK0504,Spring Creek-Starrett City,3,Brooklyn,0,SpCrk_StrC,Residential/Mixed,True,BK-BK0504
BK0505,East New York-City Line,3,Brooklyn,0,ENY_CtyLn,Residential/Mixed,True,BK-BK0505
BK0571,Highland Park-Cypress Hills Cemeteries (South),3,Brooklyn,7,CyHlsCem_S,Airport,False,BK-BK0571
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3,Brooklyn,0,CrrllGrdns,Residential/Mixed,True,BK-BK0601
BK0602,Park Slope,3,Brooklyn,0,PkSlp,Residential/Mixed,True,BK-BK0602
BK0701,Windsor Terrace-South Slope,3,Brooklyn,0,WndsrTr,Residential/Mixed,True,BK-BK0701
BK0702,Sunset Park (West),3,Brooklyn,0,SnstPk_W,Residential/Mixed,True,BK-BK0702
BK0703,Sunset Park (Central),3,Brooklyn,0,SnstPk_C,Residential/Mixed,True,BK-BK0703
BK0771,Green-Wood Cemetery,3,Brooklyn,7,GrnWdCem,Airport,False,BK-BK0771
BK0801,Prospect Heights,3,Brooklyn,0,PrspctHts,Residential/Mixed,True,BK-BK0801
BK0802,Crown Heights (North),3,Brooklyn,0,CrwnHts_N,Residential/Mixed,True,BK-BK0802
