boro_cd,raw_count,unique_location_count,capped_count,mean_complaints_per_loc,max_complaints_single_loc,repeat_share,gini_coefficient,pct_locs_for_half_complaints,population,raw_rate_per_1k_pop,unique_loc_rate_per_1k_pop,capped_rate_per_1k_pop
101,13495,2093,10770,6.447682752030578,436,0.8449055205631716,0.6661,0.0741,72470.0,62.07166183708201,9.626972080401085,49.53773975438112
102,34411,4128,27165,8.335998062015504,424,0.8800383598267996,0.6539,0.0858,85706.0,133.83349279319222,16.05488530557954,105.65187968170255
103,64477,4231,39354,15.239186953438903,1155,0.9343797012888316,0.7091,0.0693,155194.0,138.486883083968,9.087550635548624,84.5264636519453
104,46490,3870,33475,12.012919896640827,1242,0.9167562916756291,0.6698,0.0884,116457.0,133.06771311871907,11.077049898245704,95.81505047642764
105,24154,3193,17219,7.564672721578453,494,0.8678065744804173,0.6996,0.0551,50450.0,159.59035348529895,21.09679550710274,113.76940865543443
106,27158,2693,18243,10.084663943557372,1034,0.9008395316297224,0.7053,0.0579,143639.0,63.02373774996113,6.249463353731692,42.33529890907066
107,81192,4872,44035,16.665024630541872,2710,0.9399940880874963,0.7399,0.0484,220646.0,122.65801328825358,7.360205940737653,66.52435726608837
108,32010,3873,23425,8.264910921766074,985,0.8790065604498594,0.6781,0.0676,211135.0,50.53638667203448,6.114571245885334,36.98265722562973
109,50911,2337,22629,21.784766795036372,4639,0.9540963642434838,0.7822,0.0372,114528.0,148.17628294681938,6.801830120145292,65.86162335848002
110,67379,3453,32261,19.51317694758181,2649,0.9487525786966265,0.7693,0.0408,135884.0,165.28558672593292,8.470460098319155,79.13857898403539
111,37065,2774,22729,13.361571737563086,610,0.925158505328477,0.727,0.062,125413.0,98.51450806535208,7.372973030440757,60.41106849635471
112,112987,4479,49960,25.22594329091315,2225,0.9603582713055484,0.7604,0.0502,202680.0,185.8216564699691,7.366291691336096,82.1656469969081
201,29908,2523,17146,11.854141894569956,2217,0.9156412999866257,0.7653,0.0416,100606.0,99.09283077881373,8.359342385146014,56.80907036690986
202,14785,1535,10221,9.631921824104234,357,0.8961785593506932,0.7162,0.0619,55508.0,88.78600081669909,9.217890514280224,61.37854003026591
203,37546,2072,16011,18.12065637065637,3144,0.9448143610504448,0.8128,0.0188,88856.0,140.84961435731222,7.772875964106719,60.06347348518952
204,67738,3245,31967,20.87457627118644,1913,0.9520948359857097,0.7652,0.0533,153883.0,146.73052470599956,7.029149851943793,69.2452490961748
205,66757,2875,29191,23.219826086956523,1373,0.9569333553035637,0.7732,0.047,137347.0,162.01543050327516,6.977460980824724,70.84489164913201
206,30449,2373,17136,12.831436999578592,889,0.9220664061217118,0.7589,0.0438,87409.0,116.1169521063811,9.049411387843357,65.34796188035557
207,60210,3042,30103,19.792899408284022,2551,0.9494768310911809,0.7556,0.0539,139443.0,143.92977775865407,7.27178847270928,71.96010795330949
208,29972,2186,16044,13.71088746569076,630,0.9270652609101828,0.7741,0.0439,106607.0,93.71492178437313,6.835073369165877,50.16556136088625
209,47406,3868,24653,12.255946225439503,4321,0.9184069527064085,0.7849,0.0264,172669.0,91.51613781280949,7.467080560687403,47.592020957245744
