status,detail
INFO,"Columns with missing: {'nighttime_crimes_total': np.int64(1), 'crimes_per_year': np.int64(1), 'felonies': np.int64(1), 'misdemeanors': np.int64(1), 'felony_share': np.int64(1), 'crime_rate_per_1k': np.int64(1), 'violent_crimes': np.int64(1), 'violent_rate_per_1k': np.int64(1), 'total_violations': np.int64(3), 'dep_violations': np.int64(3), 'nypd_violations': np.int64(3), 'violation_rate_per_1k': np.int64(3), 'mean_volume': np.int64(6), 'median_volume': np.int64(6)}"
WARN,area_km2: 2 values > 3 SD (max=55.77)
WARN,radiance_raw: 1 values > 3 SD (max=198.29)
WARN,z_light: 1 values > 3 SD (max=4.73)
WARN,z_air: 1 values > 3 SD (max=4.72)
WARN,dot_pct_above_65dB: 1 values > 3 SD (max=0.24)
WARN,rate_per_1k_pop: 1 values > 3 SD (max=259.06)
WARN,rate_per_km2: 1 values > 3 SD (max=3626.50)
WARN,late_night_share: 1 values > 3 SD (max=0.34)
WARN,warm_season_ratio: 2 values > 3 SD (max=2.74)
WARN,no2_mean_primary: 1 values > 3 SD (max=25.00)
WARN,pm25_mean_primary: 2 values > 3 SD (max=8.65)
WARN,crime_rate_per_1k: 1 values > 3 SD (max=78.88)
WARN,violent_rate_per_1k: 1 values > 3 SD (max=25.83)
WARN,shots_total: 1 values > 3 SD (max=5214.00)
WARN,shots_per_year: 1 values > 3 SD (max=1738.00)
WARN,shots_nighttime: 1 values > 3 SD (max=2467.00)
WARN,total_licenses: 1 values > 3 SD (max=2367.00)
WARN,on_premises_count: 1 values > 3 SD (max=1701.00)
WARN,license_rate_per_1k_pop: 1 values > 3 SD (max=46.92)
WARN,on_premises_rate_per_1k_pop: 1 values > 3 SD (max=33.72)
WARN,ahv_total_permits: 1 values > 3 SD (max=89079.00)
WARN,ahv_nighttime_permits: 1 values > 3 SD (max=8893.00)
WARN,total_permits: 1 values > 3 SD (max=39763.00)
WARN,permits_per_year: 1 values > 3 SD (max=13254.33)
