,boro_cd,total_permits,permits_per_year,work_type_general_construction,work_type_plumbing,work_type_mechanical_systems,work_type_sprinklers,work_type_sidewalk_shed,work_type_structural,work_type_supported_scaffold,work_type_protection_and_mechanical_methods,work_type_sign,work_type_standpipe,work_type_construction_fence,work_type_boiler_equipment,work_type_antenna,work_type_foundation,work_type_suspended_scaffold,work_type_support_of_excavation,work_type_earth_work,work_type_curb_cut,work_type_full_demolition,permits_2021,permits_2022,permits_2023,work_type_solar,work_type_green_roof,permit_rate_per_1k
0,101,12679,4226.333333333333,3652,2119,1710,1684,839,726,528,354,274,274.0,244,91,68,44,26.0,21,19,5.0,1.0,4093,4772,3814,,,58.31838461892277
1,102,19611,6537.0,6129,3468,2276,1436,1757,1438,1117,325,386,241.0,421,181,88,163,57.0,81,36,11.0,,6256,7107,6248,,,76.27237299605629
2,103,9126,3042.0,2764,1637,816,313,1122,544,613,155,157,82.0,447,205,103,66,16.0,34,32,8.0,11.0,3209,3077,2840,1.0,,19.601273245099684
3,104,13608,4536.0,3906,1966,1466,1336,1255,817,771,388,389,408.0,432,136,114,99,26.0,56,27,14.0,1.0,4616,4900,4092,1.0,,38.94999871197094
4,105,39763,13254.333333333334,10794,6406,6123,6157,2139,2326,1230,1242,1171,864.0,654,174,181,106,108.0,42,30,14.0,2.0,13321,13799,12643,,,262.7221671622068
5,106,14887,4962.333333333333,4920,2675,1741,1249,1268,819,653,303,227,257.0,295,139,133,86,59.0,45,16,1.0,1.0,4721,5526,4640,,,34.54725620014991
6,107,18040,6013.333333333333,6282,3601,1964,497,1982,1014,1081,409,213,173.0,314,201,79,99,67.0,35,25,,4.0,6178,6461,5401,,,27.253307711598364
7,108,23698,7899.333333333333,7906,4542,2697,1005,2252,1181,1540,810,335,257.0,528,204,85,150,64.0,93,23,16.0,10.0,7779,8346,7573,,,37.41366108571925
8,109,5029,1676.3333333333333,1408,711,409,181,820,317,438,129,58,39.0,170,125,72,59,26.0,35,24,2.0,6.0,1584,1898,1547,,,14.636886467355872
9,110,5067,1689.0,1256,654,455,244,888,306,383,101,105,75.0,277,121,62,71,6.0,14,41,4.0,3.0,1859,1781,1427,1.0,,12.429719466603867
10,111,5497,1832.3333333333333,1287,675,689,241,760,374,417,125,75,103.0,438,90,61,60,9.0,49,27,11.0,5.0,1773,2287,1437,1.0,,14.61039392513801
11,112,5920,1973.3333333333333,1538,1017,532,326,880,314,229,140,89,125.0,255,153,121,89,14.0,54,32,9.0,3.0,1709,2232,1979,,,9.736201565686468
12,201,4402,1467.3333333333333,886,481,457,199,490,332,230,175,133,117.0,461,97,37,106,,81,76,35.0,9.0,1370,1856,1176,,,14.584948545149727
13,202,2352,784.0,477,330,218,138,307,169,112,41,54,37.0,199,48,24,80,2.0,42,46,25.0,3.0,798,853,701,,,14.124090221229372
14,203,2773,924.3333333333334,733,288,140,128,442,135,129,39,44,47.0,316,79,24,87,15.0,42,59,16.0,9.0,757,1057,959,1.0,,10.402598961615798
15,204,4388,1462.6666666666667,1001,513,317,265,677,285,224,114,56,97.0,296,111,46,179,12.0,93,81,20.0,1.0,1460,1712,1216,,,9.505056872212439
16,205,4512,1504.0,901,530,308,345,552,336,206,108,28,190.0,401,77,40,242,9.0,112,92,19.0,16.0,1126,2111,1275,,,10.950366589732575
17,206,3303,1101.0,699,416,273,205,469,195,178,89,53,57.0,269,94,24,113,,51,71,36.0,10.0,1105,1318,880,1.0,,12.595956938072737
18,207,4103,1367.6666666666667,858,531,282,254,543,258,229,92,90,102.0,382,91,44,161,1.0,67,84,16.0,17.0,1366,1626,1111,1.0,,9.80806972502504
19,208,3472,1157.3333333333333,970,500,275,123,458,248,109,23,59,30.0,240,65,43,144,23.0,55,80,21.0,4.0,905,1474,1093,2.0,,10.856072615619361
20,209,3413,1137.6666666666667,804,485,259,159,530,262,126,35,73,82.0,284,49,37,94,9.0,49,40,29.0,4.0,1078,1301,1034,3.0,,6.588714052126709
21,210,2794,931.3333333333334,767,501,250,88,196,192,53,6,125,11.0,280,58,48,113,8.0,16,44,25.0,5.0,778,1050,966,8.0,,7.212705100007229
22,211,3247,1082.3333333333333,763,528,342,136,254,226,95,35,86,44.0,343,76,44,110,3.0,49,63,39.0,4.0,908,1318,1021,7.0,,9.228390588007922
23,212,3866,1288.6666666666667,942,590,270,158,328,291,107,53,80,30.0,492,52,71,164,1.0,73,81,60.0,13.0,991,1548,1327,10.0,,8.002301748459464
24,301,14677,4892.333333333333,3264,2101,1342,947,1334,1068,762,364,350,273.0,1235,159,110,659,19.0,295,281,83.0,29.0,4470,5777,4430,,2.0,24.27535332985999
25,302,13863,4621.0,3533,1995,1407,915,1313,1023,943,541,303,232.0,771,148,78,334,18.0,133,139,20.0,17.0,4524,5002,4337,,,36.58517275231973
26,303,9488,3162.6666666666665,2173,1454,934,512,876,812,651,119,89,102.0,975,53,50,354,3.0,138,146,23.0,22.0,2991,3522,2975,2.0,,17.33528464910117
27,304,5029,1676.3333333333333,1233,844,520,301,389,391,249,54,67,36.0,445,81,28,190,,74,88,24.0,13.0,1428,1900,1701,2.0,,14.573770111744796
28,305,6518,2172.6666666666665,1625,1045,714,356,501,562,202,106,140,72.0,538,95,47,187,12.0,69,172,46.0,19.0,2510,2451,1557,10.0,,10.582732189333163
29,306,12315,4105.0,3199,1915,1274,529,1062,1138,720,182,186,171.0,757,92,52,564,7.0,180,237,32.0,14.0,3794,4485,4036,4.0,,34.02093468477801
30,307,6857,2285.6666666666665,1913,1261,717,360,516,496,228,110,146,80.0,497,122,37,188,7.0,83,64,27.0,3.0,2256,2488,2113,2.0,,18.617923926353715
31,308,4422,1474.0,1146,713,396,231,442,371,270,59,43,76.0,273,74,36,148,5.0,60,52,15.0,10.0,1366,1627,1429,2.0,,13.365856312510768
32,309,3294,1098.0,804,496,241,165,279,275,149,80,22,58.0,306,32,46,156,6.0,67,85,12.0,14.0,1109,1175,1010,1.0,,10.98241613154894
33,310,5079,1693.0,1764,1087,472,103,288,307,110,27,122,38.0,284,129,58,139,13.0,39,74,19.0,4.0,1535,1907,1637,2.0,,13.271249284700827
34,311,4655,1551.6666666666667,1628,1108,374,128,158,234,61,23,151,10.0,321,93,68,131,,32,64,55.0,13.0,1539,1501,1615,3.0,,8.232221143456401
35,312,7150,2383.3333333333335,1562,1078,432,472,547,553,334,108,79,92.0,813,110,61,415,1.0,192,186,80.0,28.0,2159,2489,2502,7.0,,12.409445757705138
36,313,2928,976.0,720,397,286,125,337,165,111,70,63,74.0,346,30,36,49,,30,45,39.0,5.0,960,935,1033,,,8.848674965321536
37,314,3987,1329.0,1132,619,378,151,369,228,154,44,141,58.0,310,63,72,115,6.0,45,60,27.0,13.0,1354,1423,1210,2.0,,8.077112417116915
38,315,5863,1954.3333333333333,1621,937,472,179,319,494,141,32,137,42.0,748,41,73,290,1.0,94,136,65.0,36.0,1816,2102,1945,5.0,,12.427876768370492
39,316,3383,1127.6666666666667,826,500,352,164,313,247,144,65,26,71.0,337,51,25,103,1.0,58,78,18.0,3.0,1151,1105,1127,1.0,,11.912810761321222
40,317,3622,1207.3333333333333,804,579,260,229,306,261,154,70,44,26.0,359,44,69,191,,67,89,49.0,10.0,1274,1354,994,11.0,,7.615034963564728
41,318,3450,1150.0,951,622,325,98,231,263,60,14,141,5.0,374,37,71,109,,25,46,47.0,8.0,963,1527,960,23.0,,5.743395095640015
42,401,9682,3227.3333333333335,2236,1497,926,446,841,701,396,199,273,211.0,896,138,121,357,31.0,127,176,85.0,21.0,3441,3338,2903,4.0,,18.84354138689399
43,402,7403,2467.6666666666665,1659,1180,786,577,558,467,230,295,214,215.0,491,79,54,222,36.0,77,146,90.0,27.0,2506,2676,2221,,,19.84101459063669
44,403,3515,1171.6666666666667,1047,728,279,124,274,197,112,26,110,14.0,212,81,48,120,2.0,20,82,34.0,4.0,1377,1182,956,1.0,,7.236932858145822
45,404,3877,1292.3333333333333,1056,733,337,230,299,222,89,8,102,17.0,224,68,44,185,6.0,58,160,32.0,4.0,1210,1317,1350,3.0,,7.377763569033564
46,405,5364,1788.0,1610,1171,594,202,162,372,79,20,152,21.0,329,106,56,221,2.0,32,167,43.0,17.0,1845,1772,1747,8.0,,9.668261821721146
47,406,4558,1519.3333333333333,1302,760,460,188,420,287,185,66,157,49.0,312,44,39,135,9.0,60,65,13.0,2.0,1388,1911,1259,5.0,,12.418535713507268
48,407,14084,4694.666666666667,3515,2436,1369,615,541,1075,252,108,300,110.0,1253,137,86,1006,8.0,121,848,244.0,54.0,4282,5043,4759,6.0,,18.77626330496363
49,408,6441,2147.0,1666,1050,630,140,200,631,96,21,92,34.0,751,93,51,484,2.0,83,319,59.0,27.0,1965,2538,1938,12.0,,13.420175893688704
50,409,3453,1151.0,990,690,310,93,179,234,74,26,77,31.0,239,76,61,162,1.0,27,121,48.0,6.0,1142,1223,1088,8.0,,7.631664445461116
51,410,3703,1234.3333333333333,976,678,353,50,100,318,37,4,81,,363,38,36,347,1.0,17,191,84.0,9.0,1284,1443,976,20.0,,8.924848581255166
52,411,8311,2770.3333333333335,2106,1343,887,163,124,757,55,10,157,25.0,795,47,57,827,1.0,53,686,173.0,34.0,2725,2880,2706,11.0,,22.45803473956138
