boro_cd,helicopter_complaints_night,total_noise_complaints_night,population,helicopter_complaints_night_per_1k,helicopter_pct_of_noise
101,110.0,6844,72470.0,0.5059564877420542,1.61
102,176.0,17849,85706.0,0.6845106138037788,0.99
103,49.0,37283,155194.0,0.10524461856343244,0.13
104,805.0,17949,116457.0,2.304140870306923,4.48
105,42.0,10143,50450.0,0.27750247770069375,0.41
106,621.0,11582,143639.0,1.441112789701961,5.36
107,4276.0,22024,220646.0,6.459819499711453,19.42
108,1094.0,12817,211135.0,1.727172977794618,8.54
109,50.0,26416,114528.0,0.14552482071342088,0.19
110,63.0,33300,135884.0,0.15454358128992376,0.19
111,30.0,18969,125413.0,0.07973655043735497,0.16
112,34.0,59624,202680.0,0.055917373856983095,0.06
201,3.0,15328,100606.0,0.009939765023954834,0.02
202,0.0,7764,55508.0,0.0,0.0
203,1.0,19306,88856.0,0.003751388013565019,0.01
204,3.0,36453,153883.0,0.00649844362275235,0.01
205,2.0,37155,137347.0,0.004853885899704155,0.01
206,3.0,16598,87409.0,0.011440469516868971,0.02
207,3.0,30292,139443.0,0.007171389026340512,0.01
208,45.0,14805,106607.0,0.1407037061356196,0.3
209,6.0,22938,172669.0,0.011582855057943231,0.03
210,1.0,10364,129124.0,0.0025814978883347273,0.01
211,6.0,12008,117283.0,0.017052769796134137,0.05
212,3.0,64838,161037.0,0.0062097530381216735,0.0
301,34.0,32795,201535.0,0.05623506256150711,0.1
302,600.0,16392,126308.0,1.5834309782436582,3.66
303,20.0,25644,182441.0,0.036541493779724224,0.08
304,14.0,26218,115024.0,0.04057124310288868,0.05
305,9.0,20858,205303.0,0.014612548282294949,0.04
306,2153.0,11201,120661.0,5.947793128406582,19.22
307,11.0,9618,122767.0,0.029866875191758915,0.11
308,1539.0,16398,110281.0,4.65175324851969,9.39
309,43.0,13983,99978.0,0.14336487360552655,0.31
310,9.0,8342,127569.0,0.023516685088069984,0.11
311,4.0,9920,188487.0,0.007073874237126875,0.04
312,5.0,7892,192058.0,0.0086779340962973,0.06
313,1.0,8063,110299.0,0.0030220884444404146,0.01
314,23.0,14773,164539.0,0.04659482959460473,0.16
315,9.0,10138,157254.0,0.019077416154756,0.09
316,7.0,10195,94660.0,0.02464962321290232,0.07
317,6.0,15431,158546.0,0.012614635500107226,0.04
318,12.0,10384,200230.0,0.01997702641961744,0.12
401,106.0,27122,171270.0,0.20630194040598665,0.39
402,95.0,12032,124372.0,0.25461250656632256,0.79
403,7.0,17558,161901.0,0.014412099575254836,0.04
404,3.0,16632,175166.0,0.005708870442894169,0.02
405,8.0,15522,184935.0,0.014419480718450626,0.05
406,7.0,8503,122344.0,0.01907190653675974,0.08
407,1284.0,19729,250032.0,1.711780892045818,6.51
408,50.0,10102,159983.0,0.10417773555106898,0.49
409,4.0,15363,150819.0,0.008840619108556172,0.03
410,579.0,16661,138303.0,1.3954867211846453,3.48
411,23.0,5455,123356.0,0.062150739864024994,0.42
412,15.0,22820,257420.0,0.019423510216766374,0.07
413,6.0,9548,206684.0,0.009676607768380717,0.06
414,1.0,8071,134226.0,0.002483373812326474,0.01
501,26.0,12307,182838.0,0.047400795604123136,0.21
502,2.0,5116,141364.0,0.004715957858200579,0.04
503,5.0,4705,168027.0,0.009919040789079535,0.11
