boro_cd,wifi_hotspots,linknyc_kiosks,area_km2,wifi_hotspots_per_km2,population,linknyc_kiosks_per_1k
101,117,24.0,3.8737874499500387,30.202999393141454,72470.0,0.33117151924934457
102,75,38.0,3.5046851260186433,21.399925329440574,85706.0,0.4433761930319931
103,93,67.0,4.355157365325947,21.353993024552793,155194.0,0.43171772104591677
104,162,114.0,4.581039450588122,35.36315322043388,116457.0,0.9789020840310158
105,234,185.0,4.068232238002258,57.51884020144037,50450.0,3.666997026759167
106,212,203.0,3.5981447706273566,58.91925242436441,143639.0,1.4132651995627927
107,211,191.0,4.938038115770943,42.72952031822419,220646.0,0.865639984409416
108,120,105.0,5.129629966047523,23.39350027083187,211135.0,0.4973121462571341
109,99,87.0,3.8921667500588963,25.435703647204203,114528.0,0.759639564124057
110,169,65.0,3.630064305945828,46.55564908951836,135884.0,0.4783491801830974
111,93,42.0,6.146537348369612,15.130470170277016,125413.0,0.3348935118368909
112,75,54.0,7.243065415948536,10.354731828716774,202680.0,0.2664298401420959
201,75,58.0,5.611318014480505,13.365843783306495,100606.0,0.5765063713893804
202,7,0.0,5.742246988356088,1.21903498999509,55508.0,0.0
203,27,3.0,4.16179490253111,6.487585436653596,88856.0,0.03376249212208517
204,48,17.0,5.158172659629183,9.305621034300678,153883.0,0.11047354158678996
205,38,32.0,3.559759490659611,10.674878485388556,137347.0,0.23298652318579946
206,18,9.0,3.9634652158186445,4.54148050250572,87409.0,0.10296422565182074
207,39,17.0,4.952478084391308,7.874845549123385,139443.0,0.12191361344778869
208,7,1.0,8.554144629501598,0.8183167696111131,106607.0,0.009380247075707974
209,4,0.0,10.617551598664548,0.3767346890504503,172669.0,0.0
210,24,0.0,16.625986913429056,1.443523330372337,129124.0,0.0
211,5,0.0,9.319526733511358,0.5365079303888781,117283.0,0.0
212,16,0.0,14.391255496688757,1.1117862512885963,161037.0,0.0
301,83,60.0,12.234944666947325,6.783847598773725,201535.0,0.2977150370903317
302,206,35.0,7.369099001089401,27.954570832817726,126308.0,0.2771004211926402
303,36,22.0,7.382257203906427,4.876557265025944,182441.0,0.12058692947308992
304,14,1.0,5.264174662470165,2.6594862248416793,115024.0,0.008693837807761859
305,26,14.0,14.445333654612204,1.7998891975540172,205303.0,0.0681918919840431
306,60,33.0,7.943389272863155,7.55345079272104,120661.0,0.27349350660113875
307,25,17.0,9.673678709323408,2.584332263992313,122767.0,0.13847369407088225
308,42,29.0,4.237184409549611,9.91224264522024,110281.0,0.2629646085907817
309,29,14.0,4.209871795190123,6.888570818981513,99978.0,0.14003080677749105
310,16,0.0,10.34419038869814,1.546761940642671,127569.0,0.0
311,9,0.0,9.588414040463595,0.9386328085144782,188487.0,0.0
312,10,0.0,9.246190267768133,1.0815265217783392,192058.0,0.0
313,34,0.0,8.200090356573725,4.146295774990259,110299.0,0.0
314,23,14.0,7.634322307929554,3.0127101099871765,164539.0,0.08508621056406081
315,21,0.0,12.230621033667658,1.7170019365486484,157254.0,0.0
316,21,7.0,4.809504203652286,4.366354432968959,94660.0,0.07394886963870695
317,17,11.0,8.716147589532284,1.9504029532974252,158546.0,0.06938049525058974
318,12,0.0,21.894781754934638,0.5480757988051397,200230.0,0.0
401,99,71.0,15.927679853252856,6.215594544348,171270.0,0.4145501255327845
402,63,45.0,13.007399457908779,4.843397037498886,124372.0,0.36181777248898467
403,31,27.0,7.7550725228737125,3.997383636138153,161901.0,0.1667685807993774
404,49,38.0,6.107447104168691,8.022992121627157,175166.0,0.21693707682997843
405,13,0.0,19.546405707233916,0.6650839133656598,184935.0,0.0
406,38,24.0,7.683388594990488,4.945734493342653,122344.0,0.1961681815209573
407,32,0.0,30.498563825383325,1.0492297336757563,250032.0,0.0
408,14,0.0,19.282654818153617,0.7260411044033069,159983.0,0.0
409,55,42.0,9.975821798189916,5.5133302411215475,150819.0,0.2784795019195194
410,4,0.0,15.986570383571815,0.25021001403218396,138303.0,0.0
411,5,0.0,24.18834744358758,0.20671110383464902,123356.0,0.0
412,75,18.0,24.83620109525643,3.019785502313579,257420.0,0.06992463678035894
413,12,0.0,32.55980873683198,0.36855253349278677,206684.0,0.0
414,37,0.0,18.169668155418325,2.0363608010620897,134226.0,0.0
501,33,0.0,35.04598313496581,0.9416200388190992,182838.0,0.0
502,41,33.0,54.95328982112565,0.7460881802246242,141364.0,0.23343991398092867
503,10,1.0,55.773801303035775,0.17929565076023782,168027.0,0.0059514244734477206
