boro_cd,non_noise_311_count,homeless_count,streetlight_count,drug_alcohol_count,quality_of_life_count,population,non_noise_311_per_1k,homeless_per_1k,broken_streetlight_rate,drug_alcohol_complaint_rate,quality_of_life_rate
101,6603,1479,100,31,1046,72470.0,30.37118807782531,6.802814957913619,0.4599604434018675,0.1425877374545789,4.8111862379835335
102,10146,376,206,116,1415,85706.0,39.460481179847385,1.4623635840353455,0.8011885593385139,0.4511547227343087,5.5033097643883355
103,15837,582,195,280,2979,155194.0,34.01549028957305,1.2500483266105649,0.4188306248952924,0.601397820362471,6.398443238785005
104,15123,628,183,94,2937,116457.0,43.28636320702062,1.7975161075189414,0.5237984835604558,0.2690549587687587,8.406536318126005
105,17603,5531,195,91,1805,50450.0,116.30657416584076,36.54443343244136,1.288404360753221,0.6012553683515031,11.925999339279814
106,9051,421,87,41,1325,143639.0,21.004044862467712,0.9769862873824888,0.2018950285089704,0.0951459329754917,3.074838077866503
107,15287,505,218,87,3277,220646.0,23.09430792611997,0.762911330064145,0.3293359801068983,0.1314322489417438,4.950614710139016
108,11578,313,141,29,2127,211135.0,18.278984220206663,0.4941546088205808,0.2226063892770028,0.0457842928300218,3.3580410637743627
109,15099,109,110,64,2881,114528.0,43.94558535903884,0.3172441091552575,0.3201546055695259,0.1862717705131787,8.385140169507311
110,21594,163,89,177,4088,135884.0,52.97165229166054,0.3998508531786917,0.2183234719810034,0.4341938712431192,10.028161274812833
111,12366,305,159,447,2947,125413.0,32.867406090277726,0.8106549294464424,0.4226037173179814,1.1880746015165893,7.832787137962838
112,32390,137,175,134,8497,202680.0,53.26952174199065,0.2253141240707848,0.2878100124991777,0.2203802381422274,13.974409578317216
201,11734,70,89,73,4219,100606.0,38.877734263695345,0.2319278505589461,0.2948796957106601,0.2418676155829009,13.978622878688482
202,7923,28,75,20,2541,55508.0,47.57872739064639,0.1681439312051116,0.4503855300136917,0.1201028080036511,15.259061756863876
203,13484,46,59,174,3861,88856.0,50.58371597491072,0.1725638486239909,0.2213318928003361,0.6527415143603134,14.48410912037454
204,32140,439,125,219,8024,153883.0,69.61999267842019,0.950938916796094,0.2707684842813479,0.4743863844609216,17.381170542988286
205,19983,51,54,83,5850,137347.0,48.49760096689407,0.1237740904424559,0.1310549192920121,0.2014362648377224,14.197616256634657
206,13386,17,61,47,2482,87409.0,51.047374984269354,0.0648293272622575,0.2326228801763357,0.1792340224309472,9.465081780289596
207,29500,122,78,163,9788,139443.0,70.51865875901503,0.2916364870711808,0.1864561146848533,0.3896454704311678,23.397851929940305
208,21448,31,153,54,12247,106607.0,67.06251309326154,0.0969292197823157,0.4783926008611067,0.1688444473627435,38.29329531206519
209,25180,37,238,144,11250,172669.0,48.609381726501766,0.0714276061906499,0.4594532506317482,0.2779885213906375,21.71785323364356
210,15575,27,662,13,8019,129124.0,40.20682961081338,0.0697004429850376,1.7089516020775894,0.0335594725483514,20.70103156655618
211,20234,28,208,63,9377,117283.0,57.507624009163024,0.0795795923819593,0.5911626862659833,0.1790540828594084,26.650637063058294
