boro_cd,crash_count,persons_injured,persons_killed,ped_injured,ped_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,population,crash_rate_per_1k,injury_rate_per_1k,night_crash_fatality_rate,night_ped_crash_rate,night_cyclist_crash_rate,night_crash_severity
101,758,226,1,59,1,32,0,129,0,72470.0,3.486500160986155,1.0395106020882203,0.0045996044340186,0.2759762660411204,0.1471873418885975,0.3113456464379947
102,905,375,1,60,0,79,0,214,0,85706.0,3.51978469029784,1.4584743191841878,0.0038892648511578,0.23335589106947,0.3072519232414689,0.425414364640884
103,1424,717,6,128,4,131,1,417,1,155194.0,3.058537486414853,1.5400079899996135,0.0128870961506243,0.2835161153137364,0.2835161153137364,0.5456460674157303
104,1544,603,8,153,4,86,1,332,2,116457.0,4.419370812116632,1.725958937633633,0.0228982943632986,0.4493790268797353,0.2490189512008724,0.4423575129533679
105,1357,655,2,161,1,132,1,334,0,50450.0,8.965972910472415,4.327717211760819,0.013214403700033,1.070366699702676,0.8787578460521969,0.4974207811348563
106,1305,686,5,145,2,122,1,388,2,143639.0,3.0284254276345557,1.5919539029557894,0.0116031625579868,0.341132979204812,0.2854377989264753,0.563984674329502
107,981,413,5,68,4,62,1,260,0,220646.0,1.482011910481042,0.6239255035970136,0.0075535775253875,0.108771516365581,0.0951750768198834,0.4719673802242609
108,1363,573,9,79,4,82,2,388,3,211135.0,2.1518617630110275,0.9046344755725012,0.0142089184644895,0.1310378036169591,0.1326165723352357,0.4864269992663242
109,1107,531,3,73,1,80,0,347,1,114528.0,3.2219195305951382,1.5454735959765298,0.0087314892428052,0.2153767346558629,0.2328397131414734,0.5067750677506775
110,1392,678,1,129,1,99,0,411,0,135884.0,3.414677224691649,1.6631833034058463,0.0024530727188876,0.3188994534553983,0.2428541991698802,0.4942528735632184
111,1770,834,3,109,3,105,0,601,0,125413.0,4.704456475803944,2.2166761021584684,0.0079736550437354,0.2976831216327919,0.2790779265307424,0.488135593220339
112,1839,878,10,124,5,68,0,651,5,202680.0,3.024472074205644,1.443983948424446,0.0164462864285244,0.2121570949279652,0.1118347477139661,0.531810766721044
201,1625,856,12,103,4,65,4,655,4,100606.0,5.384039387975535,2.8361462868351124,0.0397590600958193,0.354518285854389,0.2286145955509612,0.6006153846153847
202,1226,544,7,58,2,35,1,438,4,55508.0,7.362302130623814,3.2667963776993107,0.0420359828012779,0.3603084240109533,0.216185054406572,0.5008156606851549
203,1106,501,2,90,0,36,0,362,2,88856.0,4.149035143002911,1.8794453947960748,0.00750277602713,0.3376249212208517,0.1350499684883407,0.4710669077757685
