,boro_cd,nighttime_crimes_total,crimes_per_year,felonies,misdemeanors,felony_share,violent_crimes,property_crimes,violent_share,top_offense,top_offense_count,crime_rate_per_1k,violent_rate_per_1k,property_rate_per_1k
0,102,7314,2438.0,3684,3630,0.504,2021,3295,0.276,GRAND LARCENY,1358,28.45,7.86,12.82
1,103,7926,2642.0,4098,3828,0.517,2214,3586,0.279,GRAND LARCENY,1824,17.02,4.76,7.7
2,104,3018,1006.0,1511,1507,0.501,870,1142,0.288,GRAND LARCENY,539,8.64,2.49,3.27
3,105,11939,3979.7,5808,6131,0.486,3909,4591,0.327,ASSAULT 3 & RELATED OFFENSES,2049,78.88,25.83,30.33
4,106,6100,2033.3,2915,3185,0.478,1774,2730,0.291,PETIT LARCENY,1055,14.16,4.12,6.34
5,107,4664,1554.7,2049,2615,0.439,1173,1958,0.252,PETIT LARCENY,794,7.05,1.77,2.96
6,108,3464,1154.7,1683,1781,0.486,834,1828,0.241,PETIT LARCENY,764,5.47,1.32,2.89
7,109,4708,1569.3,2029,2679,0.431,1517,1401,0.322,ASSAULT 3 & RELATED OFFENSES,663,13.7,4.42,4.08
8,110,7175,2391.7,3432,3743,0.478,2685,1722,0.374,ASSAULT 3 & RELATED OFFENSES,1215,17.6,6.59,4.22
9,111,3886,1295.3,1657,2229,0.426,1425,957,0.367,ASSAULT 3 & RELATED OFFENSES,692,10.33,3.79,2.54
10,112,8223,2741.0,3930,4293,0.478,2800,2360,0.341,ASSAULT 3 & RELATED OFFENSES,1309,13.52,4.6,3.88
11,201,8261,2753.7,3737,4524,0.452,3021,1905,0.366,ASSAULT 3 & RELATED OFFENSES,1336,27.37,10.01,6.31
12,202,4098,1366.0,1911,2187,0.466,1675,1081,0.409,ASSAULT 3 & RELATED OFFENSES,660,24.61,10.06,6.49
13,203,6168,2056.0,2922,3246,0.474,2462,1582,0.399,ASSAULT 3 & RELATED OFFENSES,1193,23.14,9.24,5.93
14,204,7804,2601.3,3760,4044,0.482,3338,1927,0.428,ASSAULT 3 & RELATED OFFENSES,1398,16.9,7.23,4.17
15,205,7080,2360.0,3088,3992,0.436,2905,1612,0.41,ASSAULT 3 & RELATED OFFENSES,1475,17.18,7.05,3.91
16,206,6019,2006.3,2787,3232,0.463,2428,1506,0.403,ASSAULT 3 & RELATED OFFENSES,1144,22.95,9.26,5.74
17,207,6220,2073.3,2964,3256,0.477,2367,1570,0.381,ASSAULT 3 & RELATED OFFENSES,1002,14.87,5.66,3.75
18,208,2970,990.0,1408,1562,0.474,782,1254,0.263,PETIT LARCENY,466,9.29,2.45,3.92
19,209,8116,2705.3,4072,4044,0.502,3181,2378,0.392,ASSAULT 3 & RELATED OFFENSES,1438,15.67,6.14,4.59
20,210,3935,1311.7,1742,2193,0.443,1060,1428,0.269,PETIT LARCENY,588,10.16,2.74,3.69
21,211,4250,1416.7,2044,2206,0.481,1296,1706,0.305,PETIT LARCENY,719,12.08,3.68,4.85
22,212,8015,2671.7,4000,4015,0.499,2775,2434,0.346,ASSAULT 3 & RELATED OFFENSES,1239,16.59,5.74,5.04
23,301,8118,2706.0,4186,3932,0.516,1910,3189,0.235,CRIMINAL MISCHIEF & RELATED OF,1251,13.43,3.16,5.27
24,302,4693,1564.3,2150,2543,0.458,1283,1671,0.273,PETIT LARCENY,693,12.38,3.39,4.41
25,303,8086,2695.3,3850,4236,0.476,2509,2427,0.31,ASSAULT 3 & RELATED OFFENSES,1191,14.77,4.58,4.43
26,304,5592,1864.0,2844,2748,0.509,1927,1882,0.345,ASSAULT 3 & RELATED OFFENSES,856,16.21,5.58,5.45
27,305,11271,3757.0,5573,5698,0.494,3531,3077,0.313,CRIMINAL MISCHIEF & RELATED OF,1485,18.3,5.73,5.0
28,306,3736,1245.3,1756,1980,0.47,965,1354,0.258,PETIT LARCENY,500,10.32,2.67,3.74
29,307,4285,1428.3,2003,2282,0.467,1299,1283,0.303,ASSAULT 3 & RELATED OFFENSES,644,11.63,3.53,3.48
30,308,3695,1231.7,1822,1873,0.493,1248,1026,0.338,ASSAULT 3 & RELATED OFFENSES,561,11.17,3.77,3.1
31,309,3685,1228.3,1688,1997,0.458,1124,1027,0.305,ASSAULT 3 & RELATED OFFENSES,564,12.29,3.75,3.42
32,310,3155,1051.7,1208,1947,0.383,626,1187,0.198,PETIT LARCENY,606,8.24,1.64,3.1
33,311,3570,1190.0,1538,2032,0.431,1122,1368,0.314,ASSAULT 3 & RELATED OFFENSES,643,6.31,1.98,2.42
34,312,3237,1079.0,1514,1723,0.468,890,1302,0.275,PETIT LARCENY,535,5.62,1.54,2.26
35,313,3975,1325.0,1857,2118,0.467,1173,1182,0.295,ASSAULT 3 & RELATED OFFENSES,570,12.01,3.54,3.57
36,314,4354,1451.3,2156,2198,0.495,1339,1274,0.308,ASSAULT 3 & RELATED OFFENSES,679,8.82,2.71,2.58
37,315,3676,1225.3,1779,1897,0.484,925,1498,0.252,PETIT LARCENY,631,7.79,1.96,3.18
38,316,6117,2039.0,2818,3299,0.461,2232,1165,0.365,ASSAULT 3 & RELATED OFFENSES,1067,21.54,7.86,4.1
39,317,6265,2088.3,3274,2991,0.523,2071,1597,0.331,ASSAULT 3 & RELATED OFFENSES,944,13.17,4.35,3.36
