boro_cd,yellow_trips,green_trips,fhvhv_trips,taxi_trips_night,rideshare_trips_night,total_ride_trips_night,population,taxi_pickups_night_per_1k,rideshare_pickups_night_per_1k,total_ride_pickups_night_per_1k,rideshare_to_taxi_ratio
101,141389.0,37.0,1108249.0,141426.0,1108249.0,1249675.0,72470.0,2602.0146267421,20390.028057587046,22992.042684329146,7.836246517613452
102,555189.0,25.0,2262637.0,555214.0,2262637.0,2817851.0,85706.0,8637.497180282982,35199.978220116835,43837.47540039981,4.075252064969543
103,414706.0,52.0,2036714.0,414758.0,2036714.0,2451472.0,155194.0,3563.350816827111,17498.219432881855,21061.57024970897,4.910608113646994
104,507853.0,92.0,1803671.0,507945.0,1803671.0,2311616.0,116457.0,5815.537065182857,20650.494746272587,26466.031811455443,3.55091791434112
105,916509.0,57.0,2759693.0,916566.0,2759693.0,3676259.0,50450.0,24223.74628344896,72935.39478031053,97159.1410637595,3.0109048339126696
106,400776.0,43.0,1326661.0,400819.0,1326661.0,1727480.0,143639.0,3720.6144106637707,12314.770593873065,16035.385004536834,3.3098755298526266
107,300995.0,351.0,852549.0,301346.0,852549.0,1153895.0,220646.0,1820.9922983723552,5151.835972553321,6972.828270925676,2.829136607089525
108,422161.0,378.0,1059736.0,422539.0,1059736.0,1482275.0,211135.0,2668.3654218075326,6692.312185726352,9360.677607533886,2.50801937809291
109,22248.0,3601.0,430513.0,25849.0,430513.0,456362.0,114528.0,300.9336872496973,5012.0261711837575,5312.9598584334535,16.65491895237727
110,17514.0,5989.0,623800.0,23503.0,623800.0,647303.0,135884.0,230.61827244806847,6120.907048168537,6351.525320616604,26.541292600944562
111,33633.0,15633.0,509353.0,49266.0,509353.0,558619.0,125413.0,523.7734525128974,5415.20682332241,5938.980275835307,10.338834084358382
112,5132.0,2615.0,695159.0,7747.0,695159.0,702906.0,202680.0,50.96375238471153,4573.113610946648,4624.077363331359,89.73267071124306
201,1717.0,937.0,402035.0,2654.0,402035.0,404689.0,100606.0,35.17351516476817,5328.177908540909,5363.351423705678,151.48266767143934
202,344.0,217.0,208690.0,561.0,208690.0,209251.0,55508.0,13.475535058009656,5012.8510004563905,5026.326535514399,371.9964349376114
203,821.0,510.0,369328.0,1331.0,369328.0,370659.0,88856.0,19.972389784220162,5541.970529095765,5561.942918879986,277.4815927873779
204,1674.0,1317.0,520012.0,2991.0,520012.0,523003.0,153883.0,25.915793167536375,4505.691553539594,4531.60734670713,173.8589100635239
205,926.0,579.0,447188.0,1505.0,447188.0,448693.0,137347.0,14.610196558109509,4341.199055433804,4355.809251991914,297.13488372093025
206,514.0,268.0,270470.0,782.0,270470.0,271252.0,87409.0,11.928596216255382,4125.738386970068,4137.666983186323,345.8695652173913
207,773.0,474.0,423807.0,1247.0,423807.0,425054.0,139443.0,11.923629487795491,4052.379825448391,4064.303454936186,339.86126704089816
208,614.0,262.0,322217.0,876.0,322217.0,323093.0,106607.0,10.956128584426914,4029.966762657862,4040.9228912422886,367.82762557077626
209,1557.0,877.0,537041.0,2434.0,537041.0,539475.0,172669.0,18.795112807355885,4146.978708781927,4165.773821589283,220.64133114215284
210,1042.0,248.0,279788.0,1290.0,279788.0,281078.0,129124.0,13.320529103807194,2889.088524725587,2902.4090538293945,216.88992248062016
211,724.0,352.0,378589.0,1076.0,378589.0,379665.0,117283.0,12.232520200426888,4303.994042899084,4316.226563099512,351.8485130111524
212,933.0,310.0,386252.0,1243.0,386252.0,387495.0,161037.0,10.291630701846987,3198.039373974097,3208.331004675944,310.7417538213998
301,21355.0,4607.0,1905916.0,25962.0,1905916.0,1931878.0,201535.0,171.76172873198203,12609.330058467925,12781.091787199908,73.41175564286264
302,15065.0,5114.0,1075970.0,20179.0,1075970.0,1096149.0,126308.0,213.01369139985852,11358.161531072194,11571.175222472051,53.32127459239804
303,2439.0,648.0,715271.0,3087.0,715271.0,718358.0,182441.0,22.560718259601735,5227.414159463425,5249.974877723026,231.70424360220278
