,boro_cd,nycha_buildings,nycha_developments,nycha_apartments,nycha_population,nycha_pop_share,nycha_buildings_per_1k
0,101,0.0,0.0,0.0,0.0,0.0,0.0
1,102,0.0,0.0,0.0,0.0,0.0,0.0
2,103,229.0,24.0,4520.0,5461.0,0.03518821603927987,1.4755725092464913
3,104,26.0,5.0,2450.0,1487.0,0.012768661394334389,0.22325837004216148
4,105,0.0,0.0,0.0,0.0,0.0,0.0
5,106,2.0,1.0,492.0,930.0,0.006474564707356637,0.013923795069584168
6,107,96.0,15.0,2750.0,3467.0,0.015712951968311233,0.43508606546232426
7,108,6.0,3.0,1323.0,1025.0,0.004854713808700594,0.028417836928979087
8,109,9.0,1.0,265.0,657.0,0.005736588432523051,0.07858340318524727
9,110,46.0,5.0,2998.0,951.0,0.0069986164669865476,0.33852403520649965
10,111,175.0,12.0,3703.0,2789.0,0.022238523916978305,1.395389632653712
11,112,7.0,1.0,998.0,1474.0,0.007272547858693507,0.034537201499901325
12,201,87.0,11.0,4797.0,4765.0,0.04736298033914478,0.8647595570840705
13,202,38.0,4.0,437.0,1146.0,0.02064567269582763,0.6845860056208114
14,203,86.0,14.0,3594.0,2841.0,0.03197308003961466,0.967858107499775
15,204,35.0,8.0,1607.0,1791.0,0.01163871252834946,0.2274455267963323
16,205,8.0,2.0,1660.0,1817.0,0.013229266019643676,0.05824663079644987
17,206,0.0,0.0,0.0,0.0,0.0,0.0
18,207,0.0,0.0,0.0,0.0,0.0,0.0
19,208,11.0,1.0,344.0,670.0,0.006284765540724342,0.10318271783278772
20,209,295.0,11.0,1218.0,1990.0,0.011524940782653516,1.7084711210466268
21,210,72.0,4.0,850.0,1175.0,0.009099780056379915,0.5576035438803011
22,211,58.0,2.0,1991.0,255.0,0.0021742281490071025,0.49453032408788994
23,212,7.0,2.0,1712.0,872.0,0.005414904649242099,0.04346827126685172
24,301,42.0,6.0,3839.0,1757.0,0.00871808866946188,0.2084005259632322
25,302,100.0,5.0,300.0,478.0,0.0037844000380023433,0.7917154891218292
26,303,149.0,8.0,4380.0,3126.0,0.017134306433312686,0.8167023859768363
27,304,0.0,0.0,0.0,0.0,0.0,0.0
28,305,119.0,9.0,1788.0,3549.0,0.017286644617954924,0.5796310818643664
29,306,127.0,5.0,1075.0,2102.0,0.017420707602290714,1.0525356163134731
30,307,0.0,0.0,0.0,0.0,0.0,0.0
31,308,41.0,4.0,2133.0,2917.0,0.026450612526183113,0.37177755007662244
32,309,0.0,0.0,0.0,0.0,0.0,0.0
33,310,0.0,0.0,0.0,0.0,0.0,0.0
34,311,0.0,0.0,0.0,0.0,0.0,0.0
35,312,0.0,0.0,0.0,0.0,0.0,0.0
36,313,73.0,10.0,4098.0,3836.0,0.034778193818620295,0.6618373693324509
37,314,0.0,0.0,0.0,0.0,0.0,0.0
38,315,68.0,2.0,0.0,0.0,0.0,0.432421432841136
39,316,126.0,12.0,5798.0,5000.0,0.05282062117050496,1.331079653496725
40,317,2.0,1.0,135.0,249.0,0.0015705221197633494,0.012614635500107224
41,318,134.0,2.0,0.0,0.0,0.0,0.6692303850571842
42,401,218.0,5.0,0.0,0.0,0.0,1.2728440474105214
43,402,0.0,0.0,0.0,0.0,0.0,0.0
44,403,0.0,0.0,0.0,0.0,0.0,0.0
45,404,0.0,0.0,0.0,0.0,0.0,0.0
46,405,0.0,0.0,0.0,0.0,0.0,0.0
47,406,0.0,0.0,0.0,0.0,0.0,0.0
48,407,11.0,4.0,919.0,1589.0,0.006355186536123376,0.04399436872080374
49,408,121.0,1.0,0.0,0.0,0.0,0.7563303601007607
50,409,0.0,0.0,0.0,0.0,0.0,0.0
51,410,9.0,7.0,0.0,0.0,0.0,0.06507451031430989
52,411,0.0,0.0,0.0,0.0,0.0,0.0
53,412,145.0,16.0,1964.0,2249.0,0.008736694895501515,0.5632817962862249
54,413,24.0,8.0,0.0,0.0,0.0,0.1161192932205686
55,414,58.0,7.0,2620.0,1056.0,0.007867328237450271,0.43210704334480654
56,501,56.0,5.0,3080.0,1757.0,0.009609599754974349,0.3062820639035649
57,502,45.0,3.0,1430.0,2492.0,0.017628250473953763,0.3183271554285391
58,503,0.0,0.0,0.0,0.0,0.0,0.0
