,boro_cd,shots_total,shots_per_year,shots_nighttime,shots_nighttime_share,shots_shotspotter,shots_shotspotter_share,shots_citizen_reported,shots_2021,shots_2022,shots_2023,shots_type_1,shots_type_1_count,shots_type_2,shots_type_2_count,shots_type_3,shots_type_3_count,population,shots_rate_per_1k_pop
0,101,118,39.333333333333336,53,0.4491525423728814,0,0.0,118,39,41,38,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,43,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,23,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/TRANSIT,16,72470.0,0.5427533232142037
1,102,188,62.666666666666664,117,0.6223404255319149,8,0.0425531914893617,180,71,70,47,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,115,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,23,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,17,85706.0,0.7311817920176729
2,103,1025,341.6666666666667,507,0.4946341463414634,368,0.3590243902439024,657,362,318,345,SHOT SPOTTER,368,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,348,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,109,155194.0,2.201545592398332
3,104,368,122.66666666666667,222,0.6032608695652174,0,0.0,368,125,126,117,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,200,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,60,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,54,116457.0,1.0533215407117362
4,105,359,119.66666666666667,182,0.5069637883008357,2,0.005571030640668524,357,111,126,122,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,123,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,74,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,62,50450.0,2.3719854641559297
5,106,205,68.33333333333333,111,0.5414634146341464,3,0.014634146341463415,202,64,77,64,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,102,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,33,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,19,143639.0,0.47572966487745894
6,107,1503,501.0,780,0.5189620758483033,179,0.11909514304723885,1324,792,498,213,ASSAULT (IN PROGRESS): SHOTS/INSIDE,628,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,294,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,284,220646.0,2.270605404131505
7,108,232,77.33333333333333,127,0.5474137931034483,18,0.07758620689655173,214,74,76,82,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,99,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,29,ASSAULT (IN PROGRESS): SHOTS/INSIDE,21,211135.0,0.3662743426401749
8,109,1067,355.6666666666667,528,0.4948453608247423,482,0.45173383317713217,585,428,343,296,SHOT SPOTTER,482,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,317,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,104,114528.0,3.1054996740244016
9,110,2124,708.0,1075,0.506120527306968,1000,0.4708097928436911,1124,896,679,549,SHOT SPOTTER,1000,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,524,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,242,135884.0,5.210326454917429
10,111,2198,732.6666666666666,1007,0.4581437670609645,982,0.4467697907188353,1216,730,787,681,SHOT SPOTTER,982,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,569,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,233,125413.0,5.842031262043542
11,112,2473,824.3333333333334,1257,0.5082895268904165,951,0.3845531742822483,1522,977,910,586,SHOT SPOTTER,951,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,721,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,342,202680.0,4.067166633774094
12,201,1760,586.6666666666666,867,0.49261363636363636,665,0.3778409090909091,1095,640,551,569,SHOT SPOTTER,665,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,468,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,221,100606.0,5.831328814053502
13,202,765,255.0,369,0.4823529411764706,259,0.338562091503268,506,280,265,220,SHOT SPOTTER,259,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,224,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,125,55508.0,4.593932406139655
14,203,2260,753.3333333333334,1099,0.48628318584070795,1118,0.4946902654867257,1142,822,722,716,SHOT SPOTTER,1118,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,536,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,277,88856.0,8.478136910656943
15,204,2463,821.0,1180,0.47909053999187984,989,0.40154283394234674,1474,919,790,754,SHOT SPOTTER,989,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,675,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,272,153883.0,5.335222214279679
16,205,2059,686.3333333333334,994,0.4827586206896552,911,0.4424477901894123,1148,708,689,662,SHOT SPOTTER,911,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,532,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,223,137347.0,4.997075533745428
17,206,2013,671.0,981,0.4873323397913562,1039,0.5161450571286637,974,772,736,505,SHOT SPOTTER,1039,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,432,ASSAULT (IN PROGRESS): SHOTS/OUTSIDE,193,87409.0,7.6765550458190805
