,boro_cd,ems_total,ems_nighttime,ems_high_severity,fire_total,fire_nighttime,siren_total,siren_per_year,siren_nighttime,siren_nighttime_share,ems_high_severity_share,ems_per_year,fire_per_year,population,siren_rate_per_1k_pop,ems_rate_per_1k_pop,fire_rate_per_1k_pop,siren_nighttime_rate_per_1k
0,101,57987,16686,17691,20209,4775,78196,26065.333333333332,21461,0.27445137858714,0.30508562263955713,19329.0,6736.333333333333,72470.0,359.67066832252425,266.71726231544085,92.95340600708339,98.71211075847478
1,102,60551,17241,21369,28341,7206,88892,29630.666666666668,24447,0.2750191243306484,0.3529091179336427,20183.666666666668,9447.0,85706.0,345.72453114912224,235.49887600245802,110.22565514666417,95.08085781625557
2,103,114180,32127,41317,51263,13528,165443,55147.666666666664,45655,0.2759560694619899,0.3618584690839026,38060.0,17087.666666666668,155194.0,355.3466414079582,245.24143974638193,110.10520166157626,98.06006245945935
3,104,119544,35225,38707,44106,12231,163650,54550.0,47456,0.2899847234952643,0.32378873050926854,39848.0,14702.0,116457.0,468.41323406922726,342.1692126707712,126.24402139845608,135.83268216308736
4,105,127646,36810,43780,52336,13417,179982,59994.0,50227,0.2790667955684457,0.3429798035191075,42548.666666666664,17445.333333333332,50450.0,1189.177403369673,843.3828873472085,345.79451602246445,331.8599273207796
5,106,75967,21218,25970,29605,7803,105572,35190.666666666664,29021,0.2748929640434964,0.3418589650769413,25322.333333333332,9868.333333333334,143639.0,244.99381551435658,176.29149000851672,68.70232550583988,67.34707611906701
6,107,92852,23608,33636,37533,8673,130385,43461.666666666664,32281,0.24758216052460022,0.36225390944729247,30950.666666666668,12511.0,220646.0,196.97464112953176,140.2729560774574,56.70168505207436,48.767407219407254
7,108,79304,18940,30409,34142,7825,113446,37815.333333333336,26765,0.23592722528780213,0.3834485019671139,26434.666666666668,11380.666666666666,211135.0,179.104996013609,125.20267443420876,53.90232157940022,42.25574474467363
8,109,65042,18179,24084,26572,7250,91614,30538.0,25429,0.27756674744034754,0.37028381661080534,21680.666666666668,8857.333333333334,114528.0,266.6422184967868,189.30450777684644,77.3377107199404,74.0110133184316
9,110,116523,31108,42174,46544,11706,163067,54355.666666666664,42814,0.262554655448374,0.3619371282922685,38841.0,15514.666666666666,135884.0,400.0152090508571,285.839392422949,114.17581662790812,105.02585538645708
10,111,132784,34704,48344,51979,12515,184763,61587.666666666664,47219,0.255565237628746,0.36408000963971565,44261.333333333336,17326.333333333332,125413.0,491.07880894856726,352.92460377579147,138.1542051727758,125.50267250338216
11,112,108531,29422,40620,41924,11279,150455,50151.666666666664,40701,0.27051942441261506,0.37427094562843793,36177.0,13974.666666666666,202680.0,247.4426024603644,178.49319123741859,68.94941122294586,66.93803039273732
12,201,114138,30522,41121,47357,11652,161495,53831.666666666664,42174,0.26114740394439456,0.36027440466803345,38046.0,15785.666666666666,100606.0,535.0741175145286,378.16830010138557,156.905817413143,139.73321670675708
13,202,56681,15092,20524,18835,5047,75516,25172.0,20139,0.2666852057842047,0.3620966461424463,18893.666666666668,6278.333333333333,55508.0,453.4841824601859,340.3773630227475,113.10681943743845,120.9375225192765
14,203,99185,28019,35963,36435,9994,135620,45206.666666666664,38013,0.2802905176227695,0.3625850683066996,33061.666666666664,12145.0,88856.0,508.76324239968784,372.08142012544636,136.68182227424148,142.60151255964706
15,204,121778,33789,43047,40929,11116,162707,54235.666666666664,44905,0.275986896691599,0.3534874936359605,40592.666666666664,13643.0,153883.0,352.44742217572224,263.78915583051196,88.65826634521032,97.27087029323145
16,205,109463,30626,40447,38999,11038,148462,49487.333333333336,41664,0.28063746952082014,0.36950385061618995,36487.666666666664,12999.666666666666,137347.0,360.3088042209392,265.660456119658,94.64834810128119,101.11615106263697
17,206,91053,25871,32950,31484,8893,122537,40845.666666666664,34764,0.2837020654985841,0.36187714847396574,30351.0,10494.666666666666,87409.0,467.29360439619103,347.2296903064902,120.0639140897009,132.57216076147765
18,207,102186,28265,37783,34696,9584,136882,45627.333333333336,37849,0.2765082333688871,0.3697473235081127,34062.0,11565.333333333334,139443.0,327.21135756784736,244.27185301521052,82.9395045526368,90.47663441932069
19,208,48530,12843,19311,20024,5105,68554,22851.333333333332,17948,0.2618082095866033,0.3979188131052957,16176.666666666666,6674.666666666667,106607.0,214.35115267602814,151.74113019470263,62.610022481325494,56.118891504935576
20,209,111737,31174,41854,40513,10651,152250,50750.0,41825,0.2747126436781609,0.3745760133169854,37245.666666666664,13504.333333333334,172669.0,293.9149470953095,215.7055792682338,78.2093678270757,80.74215213307929
21,210,59390,14629,23012,24643,5608,84033,28011.0,20237,0.2408220580010234,0.3874726384913285,19796.666666666668,8214.333333333334,129124.0,216.93101205043214,153.31515958819946,63.615852462232695,52.24177276622988
22,211,70800,17337,27885,26244,6430,97044,32348.0,23767,0.24490952557602738,0.3938559322033898,23600.0,8748.0,117283.0,275.8114986826735,201.2226835943828,74.58881508829072,67.54886329078667
23,212,102310,28678,36816,36567,9539,138877,46292.333333333336,38217,0.2751859559178266,0.35984752223634053,34103.333333333336,12189.0,161037.0,287.4639575584079,211.77327777674284,75.69067978166508,79.106043952632
24,301,75807,22102,28090,40213,10379,116020,38673.333333333336,32481,0.2799603516635063,0.37054625562283167,25269.0,13404.333333333334,201535.0,191.8938811290016,125.3826878705932,66.51119325840838,53.722678442950354
25,302,93475,24390,30032,35871,7960,129346,43115.333333333336,32350,0.25010437122137524,0.3212837657127574,31158.333333333332,11957.0,126308.0,341.3507721865071,246.68535115220993,94.66542103429713,85.37332024363725
26,303,105307,29973,39161,44513,11653,149820,49940.0,41626,0.2778400747563743,0.371874614223176,35102.333333333336,14837.666666666666,182441.0,273.73232990391415,192.40375427307094,81.3285756308432,76.05381100374002
